username,repo_name,stars,repo_url
public-apis,public-apis,https://github.com//public-apis/public-apis,164000
httpie,httpie,https://github.com//httpie/httpie,52400
neovim,neovim,https://github.com//neovim/neovim,47500
strapi,strapi,https://github.com//strapi/strapi,40300
tiangolo,fastapi,https://github.com//tiangolo/fastapi,36900
slatedocs,slate,https://github.com//slatedocs/slate,33200
hoppscotch,hoppscotch,https://github.com//hoppscotch/hoppscotch,31900
hasura,graphql-engine,https://github.com//hasura/graphql-engine,24100
YMFE,yapi,https://github.com//YMFE/yapi,22600
encode,django-rest-framework,https://github.com//encode/django-rest-framework,22000
littlecodersh,ItChat,https://github.com//littlecodersh/ItChat,21800
Binaryify,NeteaseCloudMusicApi,https://github.com//Binaryify/NeteaseCloudMusicApi,21600
ccxt,ccxt,https://github.com//ccxt/ccxt,21400
paularmstrong,normalizr,https://github.com//paularmstrong/normalizr,20500
FallibleInc,security-guide-for-developers,https://github.com//FallibleInc/security-guide-for-developers,19900
Kong,insomnia,https://github.com//Kong/insomnia,18100
microsoft,api-guidelines,https://github.com//microsoft/api-guidelines,17700
shieldfy,API-Security-Checklist,https://github.com//shieldfy/API-Security-Checklist,16000
learn-anything,learn-anything,https://github.com//learn-anything/learn-anything,13400
youfou,wxpy,https://github.com//youfou/wxpy,13000
jsdoc,jsdoc,https://github.com//jsdoc/jsdoc,12400
directus,directus,https://github.com//directus/directus,12400
BrainJS,brain.js,https://github.com//BrainJS/brain.js,12300
ChainSafe,web3.js,https://github.com//ChainSafe/web3.js,11600
graphile,postgraphile,https://github.com//graphile/postgraphile,10800
micro,micro,https://github.com//micro/micro,10500
postmanlabs,httpbin,https://github.com//postmanlabs/httpbin,10200
go-chi,chi,https://github.com//go-chi/chi,10200
OpenAPITools,openapi-generator,https://github.com//OpenAPITools/openapi-generator,10000
star7th,showdoc,https://github.com//star7th/showdoc,9900
