username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,https://github.com//aspnetboilerplate/aspnetboilerplate,9900.0
dotnet,AspNetCore.Docs,https://github.com//dotnet/AspNetCore.Docs,9700.0
bitwarden,server,https://github.com//bitwarden/server,8400.0
ElectronNET,Electron.NET,https://github.com//ElectronNET/Electron.NET,6000.0
RicoSuter,NSwag,https://github.com//RicoSuter/NSwag,4600.0
thangchung,clean-code-dotnet,https://github.com//thangchung/clean-code-dotnet,4200.0
JimBobSquarePants,ImageProcessor,https://github.com//JimBobSquarePants/ImageProcessor,2400.0
smartstore,SmartStoreNET,https://github.com//smartstore/SmartStoreNET,2300.0
dotnet,aspnet-api-versioning,https://github.com//dotnet/aspnet-api-versioning,2100.0
loic-sharma,BaGet,https://github.com//loic-sharma/BaGet,1800.0
TrilonIO,aspnetcore-angular-universal,https://github.com//TrilonIO/aspnetcore-angular-universal,1500.0
mjebrahimi,Awesome-Microservices-NetCore,https://github.com//mjebrahimi/Awesome-Microservices-NetCore,1400.0
TrilonIO,aspnetcore-Vue-starter,https://github.com//TrilonIO/aspnetcore-Vue-starter,1200.0
lampo1024,DncZeus,https://github.com//lampo1024/DncZeus,1200.0
MarimerLLC,csla,https://github.com//MarimerLLC/csla,
riganti,dotvvm,https://github.com//riganti/dotvvm,
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com//cornflourblue/aspnet-core-3-jwt-authentication-api,
antonioCoco,SharPyShell,https://github.com//antonioCoco/SharPyShell,
chsakell,mvcarchitecture,https://github.com//chsakell/mvcarchitecture,
brthor,Gofer.NET,https://github.com//brthor/Gofer.NET,
YAFNET,YAFNET,https://github.com//YAFNET/YAFNET,
Maarten88,rrod,https://github.com//Maarten88/rrod,
SapphireDb,SapphireDb,https://github.com//SapphireDb/SapphireDb,
IvanJosipovic,BlazorTable,https://github.com//IvanJosipovic/BlazorTable,
Taritsyn,WebMarkupMin,https://github.com//Taritsyn/WebMarkupMin,
chsakell,aspnet-core-identity,https://github.com//chsakell/aspnet-core-identity,
EEParker,aspnetcore-vueclimiddleware,https://github.com//EEParker/aspnetcore-vueclimiddleware,
ALMMa,datatables.aspnet,https://github.com//ALMMa/datatables.aspnet,
cornflourblue,aspnet-core-jwt-authentication-api,https://github.com//cornflourblue/aspnet-core-jwt-authentication-api,
ElectronNET,electron.net-api-demos,https://github.com//ElectronNET/electron.net-api-demos,
