username,repo_name,stars,repo_url
metafizzy,infinite-scroll,https://github.com//metafizzy/infinite-scroll,7000.0
ljianshu,Blog,https://github.com//ljianshu/Blog,6800.0
developit,unfetch,https://github.com//developit/unfetch,5200.0
jquery-form,form,https://github.com//jquery-form/form,5100.0
olifolkerd,tabulator,https://github.com//olifolkerd/tabulator,4100.0
Studio-42,elFinder,https://github.com//Studio-42/elFinder,4100.0
ded,reqwest,https://github.com//ded/reqwest,2900.0
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com//dwyl/learn-to-send-email-via-google-script-html-no-server,2700.0
LeaVerou,bliss,https://github.com//LeaVerou/bliss,2300.0
elbywan,wretch,https://github.com//elbywan/wretch,2300.0
noelboss,featherlight,https://github.com//noelboss/featherlight,2000.0
wendux,Ajax-hook,https://github.com//wendux/Ajax-hook,1800.0
craftpip,jquery-confirm,https://github.com//craftpip/jquery-confirm,1800.0
yisainan,web-interview,https://github.com//yisainan/web-interview,1600.0
ptaoussanis,sente,https://github.com//ptaoussanis/sente,1600.0
joaomilho,Enterprise,https://github.com//joaomilho/Enterprise,1500.0
nette,tracy,https://github.com//nette/tracy,1400.0
u014427391,jeeplatform,https://github.com//u014427391/jeeplatform,1300.0
MoOx,pjax,https://github.com//MoOx/pjax,1200.0
loadingio,css-spinner,https://github.com//loadingio/css-spinner,1200.0
codingforentrepreneurs,eCommerce,https://github.com//codingforentrepreneurs/eCommerce,1100.0
danielm,uploader,https://github.com//danielm/uploader,1100.0
renderedtext,render_async,https://github.com//renderedtext/render_async,1000.0
swlib,saber,https://github.com//swlib/saber,
webcreate,infinite-ajax-scroll,https://github.com//webcreate/infinite-ajax-scroll,
proyecto26,RestClient,https://github.com//proyecto26/RestClient,
opensource-socialnetwork,opensource-socialnetwork,https://github.com//opensource-socialnetwork/opensource-socialnetwork,
rapidjs,rapid.js,https://github.com//rapidjs/rapid.js,
k8w,tsrpc,https://github.com//k8w/tsrpc,
csxiaoyaojianxian,JavaScriptStudy,https://github.com//csxiaoyaojianxian/JavaScriptStudy,
