username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://github.com//jwasham/coding-interview-university,195000
CyC2018,CS-Notes,https://github.com//CyC2018/CS-Notes,140000
trekhleb,javascript-algorithms,https://github.com//trekhleb/javascript-algorithms,122000
TheAlgorithms,Python,https://github.com//TheAlgorithms/Python,120000
yangshun,tech-interview-handbook,https://github.com//yangshun/tech-interview-handbook,60100
kdn251,interviews,https://github.com//kdn251/interviews,54200
azl397985856,leetcode,https://github.com//azl397985856/leetcode,44600
TheAlgorithms,Java,https://github.com//TheAlgorithms/Java,41500
algorithm-visualizer,algorithm-visualizer,https://github.com//algorithm-visualizer/algorithm-visualizer,35600
crossoverJie,JCSprout,https://github.com//crossoverJie/JCSprout,26400
donnemartin,interactive-coding-challenges,https://github.com//donnemartin/interactive-coding-challenges,23900
huihut,interview,https://github.com//huihut/interview,20800
halfrost,LeetCode-Go,https://github.com//halfrost/LeetCode-Go,20700
keon,algorithms,https://github.com//keon/algorithms,19800
trekhleb,homemade-machine-learning,https://github.com//trekhleb/homemade-machine-learning,18400
youngyangyang04,leetcode-master,https://github.com//youngyangyang04/leetcode-master,17000
mxgmn,WaveFunctionCollapse,https://github.com//mxgmn/WaveFunctionCollapse,16900
TheAlgorithms,C-Plus-Plus,https://github.com//TheAlgorithms/C-Plus-Plus,16100
TheAlgorithms,Javascript,https://github.com//TheAlgorithms/Javascript,15400
AtsushiSakai,PythonRobotics,https://github.com//AtsushiSakai/PythonRobotics,13400
OpenGenus,cosmos,https://github.com//OpenGenus/cosmos,12800
greyireland,algorithm-pattern,https://github.com//greyireland/algorithm-pattern,12700
williamfiset,Algorithms,https://github.com//williamfiset/Algorithms,11100
apachecn,apachecn-algo-zh,https://github.com//apachecn/apachecn-algo-zh,10400
halfrost,Halfrost-Field,https://github.com//halfrost/Halfrost-Field,9500
lnishan,awesome-competitive-programming,https://github.com//lnishan/awesome-competitive-programming,8900
Blankj,awesome-java-leetcode,https://github.com//Blankj/awesome-java-leetcode,8200
jeffgerickson,algorithms,https://github.com//jeffgerickson/algorithms,7400
mgechev,javascript-algorithms,https://github.com//mgechev/javascript-algorithms,6900
LeetCode-OpenSource,vscode-leetcode,https://github.com//LeetCode-OpenSource/vscode-leetcode,6800
