username,repo_name,stars,repo_url
serverless,serverless,https://github.com//serverless/serverless,41000
localstack,localstack,https://github.com//localstack/localstack,35600
donnemartin,data-science-ipython-notebooks,https://github.com//donnemartin/data-science-ipython-notebooks,21700
bregman-arie,devops-exercises,https://github.com//bregman-arie/devops-exercises,17400
ramitsurana,awesome-kubernetes,https://github.com//ramitsurana/awesome-kubernetes,12200
aws,aws-cli,https://github.com//aws/aws-cli,11500
kubernetes-sigs,kubespray,https://github.com//kubernetes-sigs/kubespray,11300
pulumi,pulumi,https://github.com//pulumi/pulumi,10200
donnemartin,awesome-aws,https://github.com//donnemartin/awesome-aws,9800
apereo,cas,https://github.com//apereo/cas,9000
aws-amplify,amplify-js,https://github.com//aws-amplify/amplify-js,8400
mozilla,sops,https://github.com//mozilla/sops,8400
apex,up,https://github.com//apex/up,8400
aws,chalice,https://github.com//aws/chalice,8400
aws,serverless-application-model,https://github.com//aws/serverless-application-model,8200
google,go-cloud,https://github.com//google/go-cloud,8000
caprover,caprover,https://github.com//caprover/caprover,7700
aws,aws-cdk,https://github.com//aws/aws-cdk,7600
cortexlabs,cortex,https://github.com//cortexlabs/cortex,7600
aws,aws-sdk-go,https://github.com//aws/aws-sdk-go,7200
angristan,openvpn-install,https://github.com//angristan/openvpn-install,6900
aws,aws-sdk-js,https://github.com//aws/aws-sdk-js,6800
boto,boto3,https://github.com//boto/boto3,6800
hashicorp,terraform-provider-aws,https://github.com//hashicorp/terraform-provider-aws,6400
awslabs,aws-shell,https://github.com//awslabs/aws-shell,6300
aws,amazon-sagemaker-examples,https://github.com//aws/amazon-sagemaker-examples,6100
GoogleCloudPlatform,terraformer,https://github.com//GoogleCloudPlatform/terraformer,5900
aws,aws-sam-cli,https://github.com//aws/aws-sam-cli,5700
gruntwork-io,terratest,https://github.com//gruntwork-io/terratest,5700
donnemartin,dev-setup,https://github.com//donnemartin/dev-setup,5500
