username,repo_name,stars,repo_url
amphp,amp,https://github.com//amphp/amp,3400.0
danog,MadelineProto,https://github.com//danog/MadelineProto,1700.0
amphp,http-server,https://github.com//amphp/http-server,1100.0
unreal4u,telegram-api,https://github.com//unreal4u/telegram-api,
amphp,http-client,https://github.com//amphp/http-client,
amphp,parallel,https://github.com//amphp/parallel,
php-service-bus,service-bus,https://github.com//php-service-bus/service-bus,
amphp,mysql,https://github.com//amphp/mysql,
amphp,byte-stream,https://github.com//amphp/byte-stream,
amphp,parallel-functions,https://github.com//amphp/parallel-functions,
amphp,process,https://github.com//amphp/process,
amphp,socket,https://github.com//amphp/socket,
amphp,redis,https://github.com//amphp/redis,
kelunik,acme,https://github.com//kelunik/acme,
amphp,dns,https://github.com//amphp/dns,
amphp,websocket-client,https://github.com//amphp/websocket-client,
PeeHaa,mailgrab,https://github.com//PeeHaa/mailgrab,
amphp,sync,https://github.com//amphp/sync,
jolicode,asynit,https://github.com//jolicode/asynit,
amphp,websocket-server,https://github.com//amphp/websocket-server,
amphp,postgres,https://github.com//amphp/postgres,
amphp,file,https://github.com//amphp/file,
amphp,cache,https://github.com//amphp/cache,
amphp,beanstalk,https://github.com//amphp/beanstalk,
amphp,windows-registry,https://github.com//amphp/windows-registry,
amphp,hpack,https://github.com//amphp/hpack,
amphp,serialization,https://github.com//amphp/serialization,
phpinnacle,ridge,https://github.com//phpinnacle/ridge,
amphp,aerys,https://github.com//amphp/aerys,
Room-11,Jeeves,https://github.com//Room-11/Jeeves,
