username,repo_name,stars,repo_url
atom,atom,https://github.com//atom/atom,56100.0
themerdev,themer,https://github.com//themerdev/themer,4400.0
nteract,hydrogen,https://github.com//nteract/hydrogen,3700.0
shd101wyy,markdown-preview-enhanced,https://github.com//shd101wyy/markdown-preview-enhanced,3400.0
miniflux,v2,https://github.com//miniflux/v2,3100.0
atom,teletype,https://github.com//atom/teletype,2300.0
mehcode,awesome-atom,https://github.com//mehcode/awesome-atom,1900.0
mmcdole,gofeed,https://github.com//mmcdole/gofeed,1700.0
joefitzgerald,go-plus,https://github.com//joefitzgerald/go-plus,1500.0
Glavin001,atom-beautify,https://github.com//Glavin001/atom-beautify,1500.0
simplepie,simplepie,https://github.com//simplepie/simplepie,1400.0
t9md,atom-vim-mode-plus,https://github.com//t9md/atom-vim-mode-plus,1400.0
ocaml,merlin,https://github.com//ocaml/merlin,1400.0
kurtmckee,feedparser,https://github.com//kurtmckee/feedparser,1300.0
MagicStack,MagicPython,https://github.com//MagicStack/MagicPython,1300.0
atom,apm,https://github.com//atom/apm,1200.0
file-icons,atom,https://github.com//file-icons/atom,1200.0
kettanaito,atomic-layout,https://github.com//kettanaito/atomic-layout,1000.0
atom,github,https://github.com//atom/github,
nmdias,FeedKit,https://github.com//nmdias/FeedKit,
danhper,atomic-chrome,https://github.com//danhper/atomic-chrome,
nathanbuchar,atom-one-dark-terminal,https://github.com//nathanbuchar/atom-one-dark-terminal,
jesseweed,seti-ui,https://github.com//jesseweed/seti-ui,
fwcd,kotlin-language-server,https://github.com//fwcd/kotlin-language-server,
prettier,prettier-atom,https://github.com//prettier/prettier-atom,
raphamorim,lucario,https://github.com//raphamorim/lucario,
atom-community,atom-script,https://github.com//atom-community/atom-script,
jasonmunro,cypht,https://github.com//jasonmunro/cypht,
jekyll,jekyll-feed,https://github.com//jekyll/jekyll-feed,
lwindolf,liferea,https://github.com//lwindolf/liferea,
