username,repo_name,stars,repo_url
sindresorhus,awesome,https://github.com//sindresorhus/awesome,172000
vinta,awesome-python,https://github.com//vinta/awesome-python,104000
avelino,awesome-go,https://github.com//avelino/awesome-go,69100
awesome-selfhosted,awesome-selfhosted,https://github.com//awesome-selfhosted/awesome-selfhosted,65700
trimstray,the-book-of-secret-knowledge,https://github.com//trimstray/the-book-of-secret-knowledge,50300
papers-we-love,papers-we-love,https://github.com//papers-we-love/papers-we-love,49700
521xueweihan,HelloGitHub,https://github.com//521xueweihan/HelloGitHub,47400
Hack-with-Github,Awesome-Hacking,https://github.com//Hack-with-Github/Awesome-Hacking,47300
jaywcjlove,awesome-mac,https://github.com//jaywcjlove/awesome-mac,45700
DopplerHQ,awesome-interview-questions,https://github.com//DopplerHQ/awesome-interview-questions,43800
sindresorhus,awesome-nodejs,https://github.com//sindresorhus/awesome-nodejs,42700
wasabeef,awesome-android-ui,https://github.com//wasabeef/awesome-android-ui,41400
vsouza,awesome-ios,https://github.com//vsouza/awesome-ios,38400
prakhar1989,awesome-courses,https://github.com//prakhar1989/awesome-courses,38300
Solido,awesome-flutter,https://github.com//Solido/awesome-flutter,37800
binhnguyennus,awesome-scalability,https://github.com//binhnguyennus/awesome-scalability,36100
MunGell,awesome-for-beginners,https://github.com//MunGell/awesome-for-beginners,35600
fffaraz,awesome-cpp,https://github.com//fffaraz/awesome-cpp,34000
tiimgreen,github-cheat-sheet,https://github.com//tiimgreen/github-cheat-sheet,33300
dypsilon,frontend-dev-bookmarks,https://github.com//dypsilon/frontend-dev-bookmarks,32600
akullpp,awesome-java,https://github.com//akullpp/awesome-java,30100
serhii-londar,open-source-mac-os-apps,https://github.com//serhii-londar/open-source-mac-os-apps,28400
dkhamsing,open-source-ios-apps,https://github.com//dkhamsing/open-source-ios-apps,28400
brillout,awesome-react-components,https://github.com//brillout/awesome-react-components,28200
ziadoz,awesome-php,https://github.com//ziadoz/awesome-php,25800
herrbischoff,awesome-macos-command-line,https://github.com//herrbischoff/awesome-macos-command-line,25600
goabstract,Awesome-Design-Tools,https://github.com//goabstract/Awesome-Design-Tools,23500
alebcay,awesome-shell,https://github.com//alebcay/awesome-shell,22300
rust-unofficial,awesome-rust,https://github.com//rust-unofficial/awesome-rust,22200
sindresorhus,awesome-electron,https://github.com//sindresorhus/awesome-electron,22000
