username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://github.com//jlevy/the-art-of-command-line,97600
nvm-sh,nvm,https://github.com//nvm-sh/nvm,52200
junegunn,fzf,https://github.com//junegunn/fzf,39700
dylanaraps,pure-bash-bible,https://github.com//dylanaraps/pure-bash-bible,27800
mathiasbynens,dotfiles,https://github.com//mathiasbynens/dotfiles,26900
koalaman,shellcheck,https://github.com//koalaman/shellcheck,26300
LeCoupa,awesome-cheatsheets,https://github.com//LeCoupa/awesome-cheatsheets,24200
acmesh-official,acme.sh,https://github.com//acmesh-official/acme.sh,23900
alebcay,awesome-shell,https://github.com//alebcay/awesome-shell,22300
starship,starship,https://github.com//starship/starship,19000
jaywcjlove,linux-command,https://github.com//jaywcjlove/linux-command,16900
Nyr,openvpn-install,https://github.com//Nyr/openvpn-install,13900
dylanaraps,neofetch,https://github.com//dylanaraps/neofetch,13100
powerline,powerline,https://github.com//powerline/powerline,12800
shelljs,shelljs,https://github.com//shelljs/shelljs,12800
Bash-it,bash-it,https://github.com//Bash-it/bash-it,12500
faressoft,terminalizer,https://github.com//faressoft/terminalizer,12000
jessfraz,dockerfiles,https://github.com//jessfraz/dockerfiles,11300
denisidoro,navi,https://github.com//denisidoro/navi,9800
codota,TabNine,https://github.com//codota/TabNine,8700
rgcr,m-cli,https://github.com//rgcr/m-cli,8600
alexanderepstein,Bash-Snippets,https://github.com//alexanderepstein/Bash-Snippets,8500
kanaka,mal,https://github.com//kanaka/mal,8200
direnv,direnv,https://github.com//direnv/direnv,8000
skywind3000,awesome-cheatsheets,https://github.com//skywind3000/awesome-cheatsheets,7700
angristan,openvpn-install,https://github.com//angristan/openvpn-install,6900
carlospolop,PEASS-ng,https://github.com//carlospolop/PEASS-ng,6600
withfig,autocomplete,https://github.com//withfig/autocomplete,6300
Mayccoll,Gogh,https://github.com//Mayccoll/Gogh,6300
enquirer,enquirer,https://github.com//enquirer/enquirer,6200
