username,repo_name,stars,repo_url
ccxt,ccxt,https://github.com//ccxt/ccxt,21400
python-telegram-bot,python-telegram-bot,https://github.com//python-telegram-bot/python-telegram-bot,16600
hubotio,hubot,https://github.com//hubotio/hubot,16000
discordjs,discord.js,https://github.com//discordjs/discord.js,15800
timgrossmann,InstaPy,https://github.com//timgrossmann/InstaPy,13300
RasaHQ,rasa,https://github.com//RasaHQ/rasa,12800
gunthercox,ChatterBot,https://github.com//gunthercox/ChatterBot,11600
howdyai,botkit,https://github.com//howdyai/botkit,10500
botpress,botpress,https://github.com//botpress/botpress,9400
sfyc23,EverydayWechat,https://github.com//sfyc23/EverydayWechat,8500
leon-ai,leon,https://github.com//leon-ai/leon,7900
tgbot-collection,YYeTsBot,https://github.com//tgbot-collection/YYeTsBot,7900
EZFNDEV,EZFN-Lobbybot,https://github.com//EZFNDEV/EZFN-Lobbybot,6900
microsoft,ailab,https://github.com//microsoft/ailab,6800
microsoft,botframework-sdk,https://github.com//microsoft/botframework-sdk,6600
maxbbraun,trump2cash,https://github.com//maxbbraun/trump2cash,6000
yagop,node-telegram-bot-api,https://github.com//yagop/node-telegram-bot-api,5600
botman,botman,https://github.com//botman/botman,5500
deepmipt,DeepPavlov,https://github.com//deepmipt/DeepPavlov,5400
telegraf,telegraf,https://github.com//telegraf/telegraf,5000
axa-group,nlp.js,https://github.com//axa-group/nlp.js,4600
jef,streetmerchant,https://github.com//jef/streetmerchant,4500
ohld,igbot,https://github.com//ohld/igbot,4100
Yoctol,bottender,https://github.com//Yoctol/bottender,3700
PokemonGoF,PokemonGo-Bot,https://github.com//PokemonGoF/PokemonGo-Bot,3700
pedroslopez,whatsapp-web.js,https://github.com//pedroslopez/whatsapp-web.js,3700
snipsco,snips-nlu,https://github.com//snipsco/snips-nlu,3600
goq,telegram-list,https://github.com//goq/telegram-list,3300
orkestral,venom,https://github.com//orkestral/venom,3300
jesse-ai,jesse,https://github.com//jesse-ai/jesse,3100
