username,repo_name,stars,repo_url
CyC2018,CS-Notes,https://github.com//CyC2018/CS-Notes,140000
practical-tutorials,project-based-learning,https://github.com//practical-tutorials/project-based-learning,57200
azl397985856,leetcode,https://github.com//azl397985856/leetcode,44600
x64dbg,x64dbg,https://github.com//x64dbg/x64dbg,37500
fffaraz,awesome-cpp,https://github.com//fffaraz/awesome-cpp,34000
microsoft,calculator,https://github.com//microsoft/calculator,22900
CMU-Perceptual-Computing-Lab,openpose,https://github.com//CMU-Perceptual-Computing-Lab/openpose,22200
huihut,interview,https://github.com//huihut/interview,20800
youngyangyang04,leetcode-master,https://github.com//youngyangyang04/leetcode-master,17000
yuzu-emu,yuzu,https://github.com//yuzu-emu/yuzu,16500
TheAlgorithms,C-Plus-Plus,https://github.com//TheAlgorithms/C-Plus-Plus,16100
changkun,modern-cpp-tutorial,https://github.com//changkun/modern-cpp-tutorial,15200
microsoft,vcpkg,https://github.com//microsoft/vcpkg,13900
AnthonyCalandra,modern-cpp-features,https://github.com//AnthonyCalandra/modern-cpp-features,12800
gabime,spdlog,https://github.com//gabime/spdlog,12800
facebook,infer,https://github.com//facebook/infer,12600
Qv2ray,Qv2ray,https://github.com//Qv2ray/Qv2ray,12500
ethereum,solidity,https://github.com//ethereum/solidity,12400
CoatiSoftware,Sourcetrail,https://github.com//CoatiSoftware/Sourcetrail,12100
google,tink,https://github.com//google/tink,11700
ssloy,tinyrenderer,https://github.com//ssloy/tinyrenderer,11400
antlr,antlr4,https://github.com//antlr/antlr4,10800
SFTtech,openage,https://github.com//SFTtech/openage,10600
kyleneideck,BackgroundMusic,https://github.com//kyleneideck/BackgroundMusic,10300
OpenRCT2,OpenRCT2,https://github.com//OpenRCT2/OpenRCT2,9900
compiler-explorer,compiler-explorer,https://github.com//compiler-explorer/compiler-explorer,9500
hmemcpy,milewski-ctfp-pdf,https://github.com//hmemcpy/milewski-ctfp-pdf,8800
codota,TabNine,https://github.com//codota/TabNine,8700
nasa,fprime,https://github.com//nasa/fprime,8500
Ciphey,Ciphey,https://github.com//Ciphey/Ciphey,8500
