username,repo_name,stars,repo_url
Genymobile,scrcpy,https://github.com//Genymobile/scrcpy,55600
neovim,neovim,https://github.com//neovim/neovim,47500
git,git,https://github.com//git/git,39700
fffaraz,awesome-cpp,https://github.com//fffaraz/awesome-cpp,34000
obsproject,obs-studio,https://github.com//obsproject/obs-studio,31600
serhii-londar,open-source-mac-os-apps,https://github.com//serhii-londar/open-source-mac-os-apps,28400
FFmpeg,FFmpeg,https://github.com//FFmpeg/FFmpeg,26500
vim,vim,https://github.com//vim/vim,24900
ggreer,the_silver_searcher,https://github.com//ggreer/the_silver_searcher,22700
curl,curl,https://github.com//curl/curl,22200
huihut,interview,https://github.com//huihut/interview,20800
ruby,ruby,https://github.com//ruby/ruby,18500
google,flatbuffers,https://github.com//google/flatbuffers,16900
pbatard,rufus,https://github.com//pbatard/rufus,16200
mpv-player,mpv,https://github.com//mpv-player/mpv,16100
oracle,graal,https://github.com//oracle/graal,16000
radareorg,radare2,https://github.com//radareorg/radare2,15100
shadowsocks,shadowsocks-libev,https://github.com//shadowsocks/shadowsocks-libev,14600
microsoft,vcpkg,https://github.com//microsoft/vcpkg,13900
allinurl,goaccess,https://github.com//allinurl/goaccess,13900
vurtun,nuklear,https://github.com//vurtun/nuklear,13300
facebook,infer,https://github.com//facebook/infer,12600
jarun,nnn,https://github.com//jarun/nnn,12400
kovidgoyal,kitty,https://github.com//kovidgoyal/kitty,12400
CoatiSoftware,Sourcetrail,https://github.com//CoatiSoftware/Sourcetrail,12100
TheAlgorithms,C,https://github.com//TheAlgorithms/C,11000
s-matyukevich,raspberry-pi-os,https://github.com//s-matyukevich/raspberry-pi-os,10800
qmk,qmk_firmware,https://github.com//qmk/qmk_firmware,10700
hashcat,hashcat,https://github.com//hashcat/hashcat,10700
jonas,tig,https://github.com//jonas/tig,10300
