username,repo_name,stars,repo_url
realm,SwiftLint,https://github.com//realm/SwiftLint,15300.0
facebook,infer,https://github.com//facebook/infer,12600.0
analysis-tools-dev,static-analysis,https://github.com//analysis-tools-dev/static-analysis,9000.0
Kristories,awesome-guidelines,https://github.com//Kristories/awesome-guidelines,6300.0
checkstyle,checkstyle,https://github.com//checkstyle/checkstyle,6300.0
SonarSource,sonarqube,https://github.com//SonarSource/sonarqube,6200.0
facebook,pyre-check,https://github.com//facebook/pyre-check,5600.0
simplecov-ruby,simplecov,https://github.com//simplecov-ruby/simplecov,4300.0
reviewdog,reviewdog,https://github.com//reviewdog/reviewdog,4300.0
detekt,detekt,https://github.com//detekt/detekt,4000.0
import-js,eslint-plugin-import,https://github.com//import-js/eslint-plugin-import,3600.0
PyCQA,pylint,https://github.com//PyCQA/pylint,3600.0
phpro,grumphp,https://github.com//phpro/grumphp,3600.0
pmd,pmd,https://github.com//pmd/pmd,3600.0
htmlhint,HTMLHint,https://github.com//htmlhint/HTMLHint,2700.0
kucherenko,jscpd,https://github.com//kucherenko/jscpd,2300.0
codeclimate,codeclimate,https://github.com//codeclimate/codeclimate,2200.0
trekhleb,state-of-the-art-shitcode,https://github.com//trekhleb/state-of-the-art-shitcode,2100.0
uber,piranha,https://github.com//uber/piranha,1800.0
wemake-services,wemake-python-styleguide,https://github.com//wemake-services/wemake-python-styleguide,1600.0
ehmicky,cross-platform-node-guide,https://github.com//ehmicky/cross-platform-node-guide,1200.0
urish,typewiz,https://github.com//urish/typewiz,1100.0
Tencent,feflow,https://github.com//Tencent/feflow,1000.0
jakzal,phpqa,https://github.com//jakzal/phpqa,
joshuaclayton,unused,https://github.com//joshuaclayton/unused,
imgbot,Imgbot,https://github.com//imgbot/Imgbot,
SonarSource,SonarTS,https://github.com//SonarSource/SonarTS,
pdepend,pdepend,https://github.com//pdepend/pdepend,
SonarSource,SonarJS,https://github.com//SonarSource/SonarJS,
bufferapp,android-guidelines,https://github.com//bufferapp/android-guidelines,
