username,repo_name,stars,repo_url
httpie,httpie,https://github.com//httpie/httpie,52400
junegunn,fzf,https://github.com//junegunn/fzf,39700
sharkdp,bat,https://github.com//sharkdp/bat,29800
wagoodman,dive,https://github.com//wagoodman/dive,27900
BurntSushi,ripgrep,https://github.com//BurntSushi/ripgrep,27500
chubin,cheat.sh,https://github.com//chubin/cheat.sh,27300
sherlock-project,sherlock,https://github.com//sherlock-project/sherlock,27300
cli,cli,https://github.com//cli/cli,25800
angular,angular-cli,https://github.com//angular/angular-cli,25000
spf13,cobra,https://github.com//spf13/cobra,23500
alebcay,awesome-shell,https://github.com//alebcay/awesome-shell,22300
jesseduffield,lazygit,https://github.com//jesseduffield/lazygit,21500
google,python-fire,https://github.com//google/python-fire,20300
tqdm,tqdm,https://github.com//tqdm/tqdm,19700
avajs,ava,https://github.com//avajs/ava,19300
sharkdp,fd,https://github.com//sharkdp/fd,19200
vercel,pkg,https://github.com//vercel/pkg,18900
n8n-io,n8n,https://github.com//n8n-io/n8n,18100
chalk,chalk,https://github.com//chalk/chalk,17200
vadimdemedes,ink,https://github.com//vadimdemedes/ink,16900
svg,svgo,https://github.com//svg/svgo,16800
urfave,cli,https://github.com//urfave/cli,16700
ibraheemdev,modern-unix,https://github.com//ibraheemdev/modern-unix,16600
gpakosz,.tmux,https://github.com//gpakosz/.tmux,15100
allinurl,goaccess,https://github.com//allinurl/goaccess,13900
FormidableLabs,webpack-dashboard,https://github.com//FormidableLabs/webpack-dashboard,13800
infinitered,ignite,https://github.com//infinitered/ignite,13100
pomber,git-history,https://github.com//pomber/git-history,12600
jarun,nnn,https://github.com//jarun/nnn,12400
asdf-vm,asdf,https://github.com//asdf-vm/asdf,12000
